type,name,label::English,label: Arabic,hint::English,hint::Arabic,required,relevant,choice_filter,constraint,constraint_message::English,constraint_message::Arabic,calculation,appearance,repeat_count,default
select_multiple non_enrollment_reasons,non_enrollment_reasons,"57.1 If you are not planning on enrolling at least one of your children at the start of next year, what are the reasons?",  ??? ??? ?? ???? ?????? ??? ???? ??? ????? ?? ?????? ?? ????? ????? ?????? ? ??? ?? ???????? [?? ???? ????????],,,TRUE,"selected(${planning_schl_enrollment},'some') or selected(${planning_schl_enrollment},'none')",,"not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1)","Cannot select ""Don't Know"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? "" ?? ????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,other_non_enrollment_reasons,"57.2 If other, please specify",57.2 ??? ????? ???? ???????,,,TRUE,"selected(${non_enrollment_reasons},'other')",,,,,,,,
end_group,school_going_children,,,,,,,,,,,,,,
select_multiple pss_services,school_pss_services,58. Is there psychosocial support available at the school for children if needed?,58. ?? ???? ??? ???? ?? ??????? ??????? ??? ??? ?????? [?? ???? ????????],,,TRUE,${tot_children} > 0,,"not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""not_sure"") and count-selected(.) >1) and not(selected(.,""no"") and count-selected(.) >1)","Cannot select ""No""or ""Not Sure"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? "" ??? ?????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,pss_services_other,"58.1 If other, please specify",58.1 ??? ????? ???? ???????,,,TRUE,"selected(${school_pss_services},'other')",,,,,,,,
select_multiple edu_barriers,edu_barriers,"59. For those children not attending school, what were the reasons? ",59. ??????? ?????? ??????? ????? ?? ?????? ??? ???????? ?? ?? ???????? [?? ???? ????????],,,TRUE,${tot_children_school} > ${total_enrolled_children},,"not(selected(.,‘none’) and count-selected(.) >1)","Cannot select ""None"" with any other option","?? ???? ????? ""?? ????"" ?? ?? ???? ???",,,,
text,edu_barriers_other,"59.1 If other, please specify",59.1 ??? ????? ???? ???????,,,,"selected(${edu_barriers},'other')",,,,,,,,
select_one distance,primary_school_place,60. How long does it take you to reach the nearest basic school by walking?,60. ?? ?? ????? ???? ???????? ?????? ??? ???? ????? ?????? ????? ??? ????????,,,TRUE,,,,,,,,,
select_one distance,secondary_school_place,61. How long does it take you to reach the nearest secondary school by walking?,61. ?? ?? ????? ???? ???????? ?????? ??? ???? ????? ?????? ????? ??? ????????,,,TRUE,,,,,,,,,
select_one school_safety,school_safety,62. How safe is it to travel to and to study in the education facilities?,62. ?? ?? ??? ???? ?????? ?????? ??????? ???????? ???? ?,,,TRUE,,,,,,,,,
select_multiple safety_concerns,school_safety_concerns,"62.1 If unsafe or very unsafe, what are the safety issues that children face?",62.1 ??? ???? ??? ???? ?? ??? ???? ????? ??? ?? ?????? ??????? ???? ??????? ???????? [?? ???? ????????],,,,"selected(${school_safety},'very_unsafe') or selected(${school_safety},'unsafe') ",,"not(selected(.,‘not_sure’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Cannot select ""Not Sure"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? "" ??? ?????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,safety_issues_other,"62.2 If other, please specify",62.2 ??? ????? ???? ???????,,,,"selected(${school_safety_concerns},'other')",,,,,,,,
end_group,education,,,,,,,,,,,,,,
begin_group,livelihoods,Livelihoods survey,??? ?????,,,,"selected(${consent},'yes')",,,,,,,,
note,livelihoods_start,"The next couple of questions will pertain to your household's LIVELIHOODS situation around income, expenditure, debt and employment",????? ??????? ??????? ????? ?????? ???????? ???? ????? ???????? ??????? ??????,,,,,,,,,,,,
integer,tot_income,63. Could you estimate your household's total income over the last 30 days (in NIS)?,63. ?? ????? ????? ?????? ??? ????? ???? ???????? ????? ??????? (???????)?,,,TRUE,,,(.>=0 and .<= 100000),Value is likely too high,?? ??????? ?? ???? ?????? ????? ????,,,,
select_one yndp,income_change_covid,"63.1 Has your household's typical monthly income decreased as a result of the COVID-19 outbreak (March 2020) (e.g. Wage earners getting sick, wage earners having to stay home to care for the sick, restrictions put in place to stem virus spread, etc.)?",63.1 ?? ????? ????? ?????? ??????? ?????? ???? ????? ?????? (??? ??? ????)(??? ???? ?????? ??? ???????? ????? ?????? ???????? ???? ??? ?????? ?? ?????? ?????? ??????? ?????? ???????? ???? ?????? ???????? ??? ??? ???)?,,,TRUE,,,,,,,,,
select_multiple income_change,income_change_conflict,"63.2 What has been the impact of the recent escalation on your household's income, money, livelihood assets or resources?",63.2 ?? ?? ????? ??????? ?????? ??? ??? ????? ?? ??????? ?? ?????? ???????? ?? ???????? [?? ???? ????????],,,TRUE,"selected(${location}, 'gaza')
",,"not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1)","Cannot select ""Don't Know"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,income_change_other,"63.4 If other, please specify",63.4 ??? ????? ???? ???????,,,TRUE,"selected(${income_change_conflict},'other')",,,,,,,,
integer,how_much_debt,64.  What is your household's total amount of debt (in NIS)?,64. ?? ?? ?????? ???? ????? (???????)?,,,TRUE,,,(.>=0 and .<= 1000000),Value is likely too high,?? ??????? ?? ???? ?????? ????? ????,,,,
select_one reasons_for_debt,reasons_for_debt,64.1 What was the primary reason behind taking on debt? ,64.1 ?? ?? ????? ??????? ???????,,,TRUE,${how_much_debt}>0,,,,,,,,
text,other_reasons_for_debt,"64.2 If other, specify please",64.2 ??? ????? ???? ???????,,,TRUE,"selected(${reasons_for_debt},'other')",,,,,,,,
select_one yndp,debt_due_to_covid,64.3 Has the household's amount of debt increased as a result of the COVID-19 pandemic?,64.3 ?? ???? ???? ???? ?????? ????? ???? ?????? ( COVID-19)?,,,TRUE,${how_much_debt}>0,,,,,,,,
integer,tot_expenses,65.  Could you estimate your household's total expenditure (in NIS) over the last 30 days?,65. ?? ????? ????? ?????? ????? ????? (???????) ???? 30 ????? ????????,,,TRUE,,,(.>=0 and .<= 100000),Value is likely too high,?? ??????? ?? ???? ?????? ????? ????,,,,
begin_group,expenses,Household expenditure,?????? ??????,,,,,,,,,,field-list,,
note,exp_note,"66. During the past 30 days, how much did your household spend on each of the following categories (in NIS)",66. ???? ???????? ????? ???????? ?? ????? ????? ??? ?? ??? ?? ?????? ??????? (???????),,,,,,,,,,,,
integer,food_exp,66.1 Food,66.1 ??????,,,TRUE,,,(.>=0 and .<= 100000),,,,,,
integer,water_exp,66.2 Water,66.2 ?????,,,TRUE,,,(.>=0 and .<= 100000),,,,,,
integer,rent_exp,66.3 Rent,66.3 ???????,,,TRUE,"selected(${occupancy_status},'rented')",,(.>=0 and .<= 100000),,,,,,
integer,medical_exp,66.4 Medical care (including medicine),66.4 ??????? ?????? (??? ?? ??? ???????),,,TRUE,,,(.>=0 and .<= 100000),,,,,,
integer,debt_repayment,66.5 Debt repayment,66.5 ???? ??????,,,TRUE,${how_much_debt}>0,,(.>=0 and .<= 100000),,,,,,
integer,fuel_exp,66.6 Fuel and electricity,66.6 ?????? ?????????,,,TRUE,,,(.>=0 and .<= 100000),,,,,,
calculate,calc_expenditure,,,,,,,,,,,${food_exp}+${water_exp}+${rent_exp}+${medical_exp}+${debt_repayment}+${fuel_exp},,,
note,exp_compare,"The expenditure for rent, medical care and food cannot be larger than the total expenditure",?? ???? ?? ???? ????? ??????? ???????? ?????? ??????? ???? ?? ?????? ???????,,,TRUE,${calc_expenditure} > ${tot_expenses},,,,,,,,
end_group,expenses,,,,,,,,,,,,,,
integer,working_adults,67. How many adults 18+ years worked outside of the household in the last 30 days?,67. ?? ??? ???????? ????? ???? ??????? ?? 18 ??? ????? ????? ???? ?????? ??????? ?? ??? 30 ??????,,,TRUE,,,.=0 or.<=${tot_adults},Cannot be larger than total number of adults,?? ???? ?? ???? ???? ?? ????? ???????? ????????,,,,
integer,unemployed_adults,68. How many adults 18+ years are currently unemployed and seeking work?,68. ?? ???? ??? ???????? ????? ???? ??????? ?? 18 ??? ???????? ?? ????? ??????? ?? ????,,,TRUE,,,.=0 or.<=${tot_adults},Cannot be larger than total number of adults,?? ???? ?? ???? ???? ?? ????? ???????? ????????,,,,
select_multiple barriers_to_employment,barriers_to_employment,"69.What obstacles, if any, are people in this household facing in finding work?",69.- ?? ?? ??????? ? ?? ???? ? ???? ??????? ????? ??? ?????? ?? ?????? ??? ???? [?? ???? ????????],,,TRUE,${unemployed_adults} > 0,,"not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1)","Cannot select ""Don't Know"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? "" ??? ?????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,other_employment_barriers,"69..1 If other, please specify",69.1 ??? ????? ???? ???????,,,TRUE,"selected(${barriers_to_employment}, 'other')",,,,,,,,
select_one ynp,under_18_working,"70. In the last 30 days, did any children (<18) in your HH engage in employment outside of the home?",70. ?? ??? 30 ????? ? ?? ????? ?? ????? (??? ?? 18 ???) ?? ????? ?? ??? ???? ???????,,,TRUE,${tot_children}>0,,,,,,,,
integer,under_18_working_boys,"70.1 In the last 30 days, how many boys between the age of 11-17 were engaged in employment outside of the home?","70.1 ?? ??? 30 ????? ,?? ??? ?????? ????? ?????? ??????? ??? 11 ? 17 ??? ????? ?????? ???? ?????? ????????",,,TRUE,"selected(${under_18_working}, 'yes') and ${boys_11_17} > 0",,.=0 or.<=${boys_6_17},Cannot be larger than the total number of boys between 11 and 17,?? ???? ?? ???? ????? ???? ?? ????? ??? ??????? ??? 11-17 ???,,,,
integer,under_18_working_girls,"70.2 In the last 30 days, how many girls between the age of 11-17 were engaged in employment outside of the home?","70.2 ?? ??? 30 ????? ,?? ??? ?????? ??????? ?????? ??????? ??? 11 ? 17 ??? ?? ????? ???? ?????? ????????",,,TRUE,"selected(${under_18_working}, 'yes') and ${girls_11_17} > 0",,.=0 or.<=${girls_6_17},Cannot be larger than the total number of girls between 11 and 17,?? ???? ?? ???? ????? ???? ?? ????? ??? ?????? ??? 11-17 ???,,,,
begin_group,covid_employment,Loss of employment due to COVID-19,????? ??????? ???? COVID-19,,,,,,,,,,field-list,,
select_one ynd,covid_loss_job,"71. Have any members of your household lost their jobs, either permanently or temporarily, as a result of the COVID-19 outbreak?  ",71. ?? ??? ?? ?? ????? ????? ???????? ??? ???? ???? ?? ???? ? ????? ????? ?????? COVID-19?,"Job losses should be directly attributable to COVID-19 policies, health issues from COVID-19, etc.",??? ?? ???? ????? ??????? ?????? ??? ???????? ???? ?? ??????? ???? ??????? COVID-19 ? ???????? ?????? ?? ??????? COVID-19 ? ??? ??? ???.,TRUE,,,,,,,,,
note,covid_job_note,"71.1  If yes, how many members of your household have lost their job permanently and how many temporarily?  (including yourself if you lost your job)",71.1 ??? ???? ?? ??? ????? ????? ????? ????? ??????? ???? ???? ??? ??? ????? ?????? ??????? (??? ?? ??? ???? ??? ???? ??????),"Job losses should be directly attributable to COVID-19 policies, health issues from COVID-19, etc. If none, enter 0.",??? ?? ???? ????? ??????? ?????? ??? ???????? ???? ?? ??????? ???? ??????? COVID-19 ? ???????? ?????? ?? ??????? COVID-19 ? ??? ??? ???. ??? ?? ??? ???? ??? ? ????? 0.,,"selected(${covid_loss_job}, 'yes')",,,,,,,,
integer,covid_loss_job_permanent,71.2 Number of household members who permanently lost their job as a result of the COVID-19 outbreak,71.2 ??? ????? ?????? ????? ????? ??????? ???? ???? ????? ????? COVID-19,,,TRUE,"selected(${covid_loss_job}, 'yes')",,.=0 or.<${hh_size},Cannot be larger than household size,?? ???? ?? ???? ???? ?? ??? ????? ??????,,,,
integer,covid_loss_job_temp,71.3 Number of household members who temporarily lost their job as a result of the COVID-19 outbreak,71.3 ??? ????? ?????? ????? ????? ??????? ?????? ????? ????? COVID-19,,,TRUE,"selected(${covid_loss_job}, 'yes')",,.=0 or.<${hh_size},Cannot be larger than household size,?? ???? ?? ???? ???? ?? ??? ????? ??????,,,,
select_one yndp,conflict_job_loss,"71.4 Have any members of your household lost their jobs, either permanently or temporarily, as a result of the recent escalation?",71.4 ?? ??? ?? ?? ????? ????? ??????? ? ??? ???? ???? ?? ???? ? ????? ?????? ??????? ???????,,,TRUE,"selected(${location}, 'gaza')",,,,,,,,
end_group,covid_employment,,,,,,,,,,,,,,
select_multiple livelihood_type,primary_livelihood,72. What were your household's primary income sources over the last 30 days?  (do not read out from list),72. ?? ?? ????? ????? ???????? ?????? ???? ???????? ????? ???????? [?? ???? ????????],,,TRUE,,,"not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1)","Cannot select ""Don't Know"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? "" ?? ????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,primary_livelihood_other,"72.1 If other, specify please",72.1 ??? ????? ???? ???????,,,TRUE,"selected(${primary_livelihood},'other')",,,,,,,,
begin_group,essential_needs,Essential needs,?????????? ????????,,,,,,,,,,field-list,,
note,afford_essential_needs,"73. I will now list five categories of needs. In the past 30 days, did you ever have trouble meeting any of the following essential needs because you could not afford them? Please tell me for each category whether you were able to afford your needs (only regarding the financial coverage)",73.  ????? ???? ??? ???? ?? ??????????. ???? ???????? ????? ??????? ? ?? ????? ????? ?? ????? ?? ?? ?????????? ???????? ??????? ???? ?? ?????? ???? ????????? ?? ???? ?????? ?? ?? ??? ?? ??? ??? ?????? ??? ???? ????????? (??? ??????? ???????), Please tell me for each category whether you were able to afford your needs (only regarding the financial coverage),,,,,,,,,,,
select_one yes_no,afford_communication_needs,"73.1 Essential communication needs, such as phone credit or provider costs",73.1 ???????? ????????? ????????? ??? ???? ?????? ?? ?????? ???? ??????,,,TRUE,,,,,,,,,
select_one yes_no,afford_education_needs,"73.2 Essential education needs, such as tuition fees, books, etc.",73.2 ???????? ??????? ????????? ??? ?????? ???????? ? ?????? ??? ??? ???.,,,TRUE,,,,,,,,,
select_one yes_no,afford_health_needs,"73.3 Essential health needs, such as medicines or treatments",73.3 ?????????? ?????? ????????? ??? ??????? ?? ????????,,,TRUE,,,,,,,,,
select_one yes_no,afford_shelter_needs,"73.4 Essential shelter needs, such as rent, furniture, construction costs",73.4 ???????? ?????? ????????? ??? ??????? ??????? ??????? ??????,,,TRUE,,,,,,,,,
select_one yes_no,afford_transport_services,73.5 Essential transport services,73.5 ????? ????? ????????,,,TRUE,,,,,,,,,
select_one yes_no,afford_utilities,"73.6 Utilities (e.g. Electricity, water)",73.6 ??????? (??? ???????? ??????),,,TRUE,,,,,,,,,
end_group,essential_needs,,,,,,,,,,,,,,
end_group,livelihoods,,,,,,,,,,,,,,
begin_group,protection,Protection survey,???????,,,,"selected(${consent},'yes')",,,,,,,,
select_one income_earner,income_earner,74. Who is the main income-earner of the household?,74. ?? ?? ????? ??????? ?? ????? ??????? ???????,,,TRUE,,,,,,,,,
select_one income_earner,decision_maker,75. Who decides on household expenditure?,75. ?? ???? ???? ????? ???????,,,TRUE,,,,,,,,,
begin_group,security_concerns,Security  Concerns (FOR WEST BANK),????? ?????,,,,,,,,,,,,
note,security_start,The next couple of questions will pertain to your household's SAFETY and SECURITY,????? ??????? ??????? ?????? ???? ?????,,,,,,,,,,,,
select_one yndd,feel_unsafe,76. Are there any areas in your location that women and girls avoid because they feel unsafe?,76. ?? ???? ????? ?? ????? ??????? ?????? ???????? ??????? ???? ???????,,,TRUE,,,,,,,,,
select_multiple unsafe_locations,unsafe_locations,"76.1 If yes, what areas do women and girls in your community avoid or feel unsafe?",76.1 ??? ???? ?? ?? ??????? ???? ??????? ?????? ???????? ?? ?????? ?? ????? ???? ?????? ????? [?? ???? ????????],,,TRUE,"selected(${feel_unsafe}, 'yes')",,"not(selected(.,‘dont_know’) and count-selected(.) >1)","Cannot select ""Don't know"" with any other option","?? ???? ?????"" ?? ????"" ?? ?? ???? ???",,,,
text,other_unsafe_locations,"76.2 If other, please specify",76.2 ??? ????? ???? ???????,,,TRUE,"selected(${unsafe_locations}, 'other')",,,,,,,,
select_multiple unsafe_locations_why,unsafe_locations_why,76.3 What are the reasons for why women and girls avoid these areas or feel unsafe there?,76.3 ?? ?? ??????? ???? ???? ?????? ???????? ?????? ??? ??????? ?? ????? ???? ?????? ????? [?? ???? ????????],,,TRUE,"selected(${feel_unsafe}, 'yes')",,"not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1)","Cannot select ""Don't Know"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? "" ?? ????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,other_unsafe_locations_why,"76.4 If other, please specify",76.4 ??? ????? ???? ???????,,,TRUE,"selected(${unsafe_locations_why}, 'other')",,,,,,,,
select_multiple security_concerns_girls_women,security_concerns_girls,76.5 What do you think are the main safety and security concerns for girls (<18) in this area? ,76.5 ?????? ?? ?? ??????? ???????? ???????? ???????? ?????? ??????? (??? ?? 18 ?????) ?? ??? ???????? [?? ???? ????????],,,TRUE,,,"not(selected(.,‘none') and count-selected(.) >1) and not(selected(.,‘dont_know’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Cannot select ""None"" or ""Don't Know"" or Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""?? ????"" ?? ???? ??? ??????? "" ?? ?? ???? ???",,,,
text,other_concerns_girls,"76.6 If other, please specify",76.6 ??? ????? ???? ???????,,,TRUE,"selected(${security_concerns_girls}, 'other')",,,,,,,,
select_multiple security_concerns_boys,security_concerns_boys,76.7 What do you think are the main safety and security concerns for boys(<18) in this area? ,76.7 ?????? ?? ?? ??????? ???????? ???????? ???????? ?????? ??????? (??? ?? 18 ?????) ?? ??? ???????? [?? ???? ????????],,,TRUE,,,"not(selected(.,‘none') and count-selected(.) >1) and not(selected(.,‘dont_know’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Cannot select ""None"" or ""Don't Know"" or Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""?? ????"" ?? ???? ??? ??????? "" ?? ?? ???? ???",,,,
text,other_concerns_boys,"76.8 If other, please specify",76.8 ??? ????? ???? ???????,,,TRUE,"selected(${security_concerns_boys}, 'other')",,,,,,,,
select_multiple security_concerns_cwd,security_concerns_disabled,76.9 What do you think are the main safety and security concerns for children (<18) with a disability in this area? ,76.9 ?????? ?? ?? ??????? ???????? ???????? ???????? ?????? ??????? (??? ?? 18 ?????) ??? ?????????? ?????? ?? ???? ???????? [?? ???? ????????],,,TRUE,${tot_cwd} > 0,,"not(selected(.,‘none') and count-selected(.) >1) and not(selected(.,‘dont_know’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Cannot select ""None"" or ""Don't Know"" or Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""?? ????"" ?? ???? ??? ??????? "" ?? ?? ???? ???",,,,
text,other_concerns_disabled,"76.10 If other, please specify",76.10 ??? ????? ???? ???????,,,TRUE,"selected(${security_concerns_disabled}, 'other')",,,,,,,,
select_multiple security_concerns_girls_women,security_concerns_women,76.11 What do you think are the main safety and security concerns for women (> 18) in this area?,76.11 ?????? ?? ?? ??????? ???????? ???????? ???????? ?????? ?????? (???? ?? 18 ?????) ?? ??? ???????? [?? ???? ????????],,,TRUE,,,"not(selected(.,‘none') and count-selected(.) >1) and not(selected(.,‘dont_know’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Cannot select ""None"" or ""Don't Know"" or Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""?? ????"" ?? ???? ??? ??????? "" ?? ?? ???? ???",,,,
text,other_concerns_women,"76.12 If other, please specify",76.12 ??? ????? ???? ???????,,,TRUE,"selected(${security_concerns_women}, 'other')",,,,,,,,
end_group,security_concerns,,,,,,,,,,,,,,
select_one yndd,demolition_order,77. Does your household's primary shelter have a standing demolition order? (Jerusalem and West Bank),77. ?? ???? ??? ??? ???? ?? ???? ??????,,,TRUE,"selected(${location}, 'west_bank') or selected(${location}, 'ej')",,,,,,,,
select_multiple demolition_reason,demolition_reason,77.1 What are the main reason for receiving demolition orders?(Jerusalem and westbank),77.1 ?? ?? ????? ??????? ????? ????? ?????? [?? ???? ????????],,,TRUE,"selected(${demolition_order}, 'yes')",,"not(selected(.,‘dont_know’) and count-selected(.) >1)","Cannot select ""Don't know"" with any other option","?? ???? ????? ""?? ????"" ?? ?? ???? ???",,,,
text,demolition_order_other,"77.2 If other, please specify",77.2 ??? ????? ???? ???????,,,TRUE,"selected(${demolition_reason}, 'other')",,,,,,,,
select_one yndd,encounter_explosives,78. Is any member of your household aware of the presence of explosive hazards in your location?,78. ?? ???? ?? ??? ?? ????? ??? ??? ????? ????? ?? ??????? ??? ?? ??????? ???? ???? ?????,,,TRUE,,,,,,,,,
select_one yndd,security_incidents,79. Has your home been damaged by bombardment in the past 5 years?,79. ?? ???? ????? ?????? ???? ????? ?? ??????? ????? ????????,,,TRUE,"selected(${location}, 'gaza')
",,,,,,,,
select_one level_of_damage,level_of_damage,"79.1 If yes, how much has your home been damaged? ",79.1 ??? ???? ?? ????? ????? ???? ??? ?????? ?? ????? ????????,,,TRUE,"selected(${security_incidents}, 'yes')",,,,,,,,
select_one level_of_damage_2,current_level_of_damage,80. How damaged is this shelter presently?,80.  ?? ??? ???? ??? ?????? ?? ????? ???????,,,TRUE,"selected(${location}, 'gaza')
",,,,,,,,
select_one capacity_to_repair,capacity_to_repair,81. How would you describe your household’s capacity to repair and rehabilitate your home in the area of origin?,81. ??? ??? ???? ????? ??? ????? ?????? ????? ????? ?? ??????? ????????,,,TRUE,"not(selected(${current_level_of_damage},'none')) or not(selected(${current_level_of_damage},'dont_know')) or not(selected(${current_level_of_damage},'prefer_not_to_answer'))",,,,,,,,
end_group,protection,,,,,,,,,,,,,,
begin_group,accountability,Accountability to affected populations,???????? ???? ?????? ?????????,,,,"selected(${consent},'yes')",,,,,,,,
note,aap_start,The next couple of questions will pertain to humanitarian and/or development aid that your household might receive/have received,?????? ??????? ??????? ?????????? ????????? ? / ?? ???????? ???????? ???? ?? ??????? ?? ?????? ????? ,,,,,,,,,,,,
select_one ynd,aid_received,82. Have you received aid in the past 30 days?,82. ?? ????? ??????? ???? ???????? ????? ????????,,,TRUE,,,,,,,,,
select_multiple aid_type,aid_type,82.1 What type of assistance/aid did you receive?,82.1 ?? ??? ????????  ???? ???????? [?? ???? ????????],,,TRUE,"selected(${aid_received},'yes')",,"not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1)","Cannot select ""None"" or ""Don't Know"" or Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""?? ????"" ?? ????? ??? ??????? "" ?? ?? ???? ???",,,,
text,other_aid_recieved,"82.2 If other, please specify",82.2 ??? ????? ???? ???????,,,TRUE,"selected(${aid_type}, 'other')",,,,,,,,
select_one yndd,aid_satisfaction,"82.3 If you have received aid in the last 30 days, are you satisfied with the aid you received?",82.3 ?? ??? ????? ?????? ???? ???????? ????? ???????? ?? ??? ???? ?? ??? ???????? ? [?? ???? ????????],,,TRUE,"selected(${aid_received},'yes')",,,,,,,,
select_multiple aid_not_satisfied,aid_not_satisfied,82.4 If you were not satisfied why were you not satisfied with the aid received?,82.4 ????? ?? ??? ?????? ?? ???????? ???? ????????,,,TRUE,"selected(${aid_satisfaction},'no')",,,,,,,,
text,aid_not_satisfied_other,"82.5 If other, please describe",82.5  ???  ????? ???? ???????,,,,"selected(${aid_not_satisfied},'other')",,,,,,,,
select_one yndd,aid_workers_satisfied,82.6 Are you satisfied with the way aid workers have behaved in the last 6 months in your location?,82.6 ?? ??? ??? ?? ??????? ???? ???? ??? ???? ??????? ?? ?????? ????? ??????? ?? ???????,,,TRUE,"selected(${aid_received},'yes')",,,,,,,,
select_multiple barriers_to_aid,barriers_to_aid,83. What barriers has your household faced in accessing aid since the recent escalation?,83. ?? ?? ??????? ???? ??????? ????? ?? ?????? ??? ????????? ??? ??????? ?????? ???? ??? ?????? [?? ???? ????????],,,TRUE,"selected(${location}, 'gaza')",,"not(selected(.,""did_not_apply"") and count-selected(.) >1) and not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1)","Cannot select ""Did not apply"" or ""Don't Know"" or Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ?????"" ?? ""?? ????"" ?? ????? ??? ??????? "" ?? ?? ???? ???",,,,
text,other_barriers_to_aid,"83.1 If other, please describe",83.1 ??? ????? ???? ???????,,,TRUE,"selected(${barriers_to_aid},'other')",,,,,,,,
select_multiple aid_preferred,aid_preferred,"84. If your household were to receive humanitarian assistance in the future, what type of assistance would you prefer to receive?",84. ??? ???? ????? ?????? ?????? ??????? ???????? ??? ??? ???????? ???? ??????? [?? ???? ????????]  ,,,TRUE,"selected(${location}, 'gaza')",,"not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1) and not(selected(.,""none"") and count-selected(.) >1)","Cannot select ""Do not want to receive humanitarian assistance"" or ""Don't Know"" or Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ???? ?? ????? ???????? ?????????"" ?? ""?? ????"" ?? ????? ??? ??????? "" ?? ?? ???? ???",,,,
text,other_aid_preferred,"84.1 If other, please describe",84.1 ??? ????? ???? ???????,,,TRUE,"selected(${aid_preferred},'other')",,,,,,,,
select_one yndd,complaint_mechanisms,85. Are you aware of how to access complaint mechanisms?,85. ?? ??? ??? ??? ?????? ?????? ??? ????? ????? ????????,,,TRUE,"selected(${aid_received},'yes')",,,,,,,,
select_one yndd,feedback_provided,85.1 Would you use the existing complaint mechanisms to provide feedback on the aid that you have received and/or the way that aid workers have behaved in your location?,85.1 ?? ??????? ????? ??????? ???????? ?????? ??????? ??? ???????? ???? ??????? ? / ?? ??????? ???? ????? ??? ???? ??????? ?? ???????,,,TRUE,"selected(${complaint_mechanisms},'yes')",,,,,,,,
select_one yndd,feedback_channel_quality,"85.2 If yes, have you or anyone in your household used complaint mechanisms in the past 6 months to provide feedback about the aid that you have received and/or the way that aid workers have behaved in your location?",85.2  ??? ???? ?? ??????? ??? ?? ?? ??? ?? ????? ????? ??????? ?? ?????? ????? ??????? ?????? ??????? ??? ???????? ???? ??????? ? / ?? ??????? ???? ???? ??? ???? ??????? ?? ???????,,,TRUE,"selected(${feedback_provided},'yes')",,,,,,,,
select_multiple reasons_no_complaint,reasons_no_complaint,"85.3 If no, what are the reasons for why you would not use the existing complaint mechanisms to provide feedback about the aid that you have received and/or the way that aid workers have behaved in your location?","85.3 ??? ""??"" ? ?? ?? ????? ??? ???????? ?????? ??????? ???????? ?????? ??????? ??? ???????? ???? ??????? ? / ?? ??????? ???? ????? ??? ???? ??????? ?? ?????? [?? ???? ????????]",,,TRUE,"selected(${feedback_provided},'no')",,"not(selected(.,""decline_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1)","Cannot select ""Don't Know"" or ""Decline to answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""?? ????"" ?? ????? ??? ??????? "" ?? ?? ???? ???",,,,
